Token,Category,BAM Light,BAM Dark,HealthSpring Light,HealthSpring Dark,Easify Light,Easify Dark,Wireframe Light,Wireframe Dark
surface.page,surface,,,,,,,,
surface.section,surface,,,,,,,,
surface.card,surface,,,,,,,,
surface.raised,surface,,,,,,,,
surface.overlay,surface,,,,,,,,
surface.scrim,surface,,,,,,,,
surface.inverse,surface,,,,,,,,
surface.accent,surface,,,,,,,,
surface.info,surface,,,,,,,,
surface.success,surface,,,,,,,,
surface.warning,surface,,,,,,,,
surface.danger,surface,,,,,,,,
surface.action,surface,,,,,,,,
surface.subtle,surface,,,,,,,,
on-surface.primary,on-surface,,,,,,,,
on-surface.secondary,on-surface,,,,,,,,
on-surface.subtle,on-surface,,,,,,,,
on-surface.disabled,on-surface,,,,,,,,
on-surface.inverse,on-surface,,,,,,,,
on-surface.icon,on-surface,,,,,,,,
on-surface.icon-subtle,on-surface,,,,,,,,
on-surface.link,on-surface,,,,,,,,
on-surface.link-hover,on-surface,,,,,,,,
on-surface.link-active,on-surface,,,,,,,,
on-surface.focus,on-surface,,,,,,,,
border.default,border,,,,,,,,
border.subtle,border,,,,,,,,
border.strong,border,,,,,,,,
border.inverse,border,,,,,,,,
border.disabled,border,,,,,,,,
border.control,border,,,,,,,,
border.focus,border,,,,,,,,
border.info,border,,,,,,,,
border.success,border,,,,,,,,
border.warning,border,,,,,,,,
border.danger,border,,,,,,,,
interactive.primary.surface.default,interactive,,,,,,,,
interactive.primary.surface.hover,interactive,,,,,,,,
interactive.primary.surface.active,interactive,,,,,,,,
interactive.primary.surface.disabled,interactive,,,,,,,,
interactive.primary.on-surface.default,interactive,,,,,,,,
interactive.primary.on-surface.disabled,interactive,,,,,,,,
interactive.primary.border.default,interactive,,,,,,,,
interactive.primary.border.hover,interactive,,,,,,,,
interactive.primary.border.active,interactive,,,,,,,,
interactive.primary.border.disabled,interactive,,,,,,,,
interactive.secondary.surface.default,interactive,,,,,,,,
interactive.secondary.surface.hover,interactive,,,,,,,,
interactive.secondary.surface.active,interactive,,,,,,,,
interactive.secondary.surface.disabled,interactive,,,,,,,,
interactive.secondary.on-surface.default,interactive,,,,,,,,
interactive.secondary.on-surface.disabled,interactive,,,,,,,,
interactive.secondary.border.default,interactive,,,,,,,,
interactive.secondary.border.hover,interactive,,,,,,,,
interactive.secondary.border.active,interactive,,,,,,,,
interactive.secondary.border.disabled,interactive,,,,,,,,
interactive.tertiary.surface.default,interactive,,,,,,,,
interactive.tertiary.surface.hover,interactive,,,,,,,,
interactive.tertiary.surface.active,interactive,,,,,,,,
interactive.tertiary.surface.disabled,interactive,,,,,,,,
interactive.tertiary.on-surface.default,interactive,,,,,,,,
interactive.tertiary.on-surface.disabled,interactive,,,,,,,,
interactive.tertiary.border.default,interactive,,,,,,,,
interactive.tertiary.border.hover,interactive,,,,,,,,
interactive.tertiary.border.active,interactive,,,,,,,,
interactive.tertiary.border.disabled,interactive,,,,,,,,
interactive.neutral.background.default,interactive,,,,,,,,
interactive.neutral.background.hover,interactive,,,,,,,,
interactive.neutral.background.active,interactive,,,,,,,,
interactive.neutral.border,interactive,,,,,,,,
interactive.neutral.on,interactive,,,,,,,,
field.background,field,,,,,,,,
field.background.hover,field,,,,,,,,
field.background.disabled,field,,,,,,,,
field.border,field,,,,,,,,
field.border.hover,field,,,,,,,,
field.border.focus,field,,,,,,,,
field.border.error,field,,,,,,,,
field.border.disabled,field,,,,,,,,
field.border.inverse,field,,,,,,,,
field.text,field,,,,,,,,
field.placeholder,field,,,,,,,,
field.icon,field,,,,,,,,
field.selection,field,,,,,,,,
status.info.surface,status,,,,,,,,
status.info.on-surface,status,,,,,,,,
status.info.border,status,,,,,,,,
status.info.icon,status,,,,,,,,
status.success.surface,status,,,,,,,,
status.success.on-surface,status,,,,,,,,
status.success.border,status,,,,,,,,
status.success.icon,status,,,,,,,,
status.warning.surface,status,,,,,,,,
status.warning.on-surface,status,,,,,,,,
status.warning.border,status,,,,,,,,
status.warning.icon,status,,,,,,,,
status.danger.surface,status,,,,,,,,
status.danger.on-surface,status,,,,,,,,
status.danger.border,status,,,,,,,,
status.danger.icon,status,,,,,,,,
overlay.scrim,overlay,,,,,,,,
overlay.shadow.1,overlay,,,,,,,,
overlay.shadow.2,overlay,,,,,,,,
overlay.shadow.3,overlay,,,,,,,,
overlay.popover-caret,overlay,,,,,,,,
overlay.scroll-track,overlay,,,,,,,,
overlay.scroll-thumb,overlay,,,,,,,,
brand.primary,brand,,,,,,,,
brand.accent.1,brand,,,,,,,,
brand.accent.2,brand,,,,,,,,
brand.accent.3,brand,,,,,,,,
brand.accent.4,brand,,,,,,,,
brand.accent.5,brand,,,,,,,,
brand.accent.6,brand,,,,,,,,
font-family-serif,typography,,,,,,,,
font-family-sans-serif,typography,,,,,,,,
